video_id,title,description,channel_title,likes,subscribers,comment_count,youtube_link
gxQxGw2X8xg,PUCP - Minería de Datos Públicos del Perú: avances de investigación,"El video muestra el primer avance del proyecto de investigación “Minería de Datos Públicos del Perú” que está coleccionando, ...",PUCP,13,328000,0,https://www.youtube.com/watch?v=gxQxGw2X8xg
8eqj6hsSNJY,Minería de datos y sus aportes para las nuevas tendencias de snvestigación social,,Cristian Loyola Salas,3,72,0,https://www.youtube.com/watch?v=8eqj6hsSNJY
Z5aiGUZjlBM,Minería de datos sobre streams en redes sociales,,regina martinez,0,1,0,https://www.youtube.com/watch?v=Z5aiGUZjlBM
qR-NOUs15UE,"DATYS, Línea de Negocios Minería de Datos",La Línea de Minería de Datos desarrolla soluciones para el análisis inteligente de información empleando algoritmos de Minería ...,Nayih Batista,0,0,0,https://www.youtube.com/watch?v=qR-NOUs15UE
jpajhEjNu7o,MINERÍA de DATOS en 1 MINUTO 🌐⛏️ #shorts,"Conquista la era de la Inteligencia Artificial! Capacítate, 🛠️ construye tu portafolio y posiciónate en México y EE.UU.",Ai Lab School - Curso de Inteligencia Artificial,0,5410,0,https://www.youtube.com/watch?v=jpajhEjNu7o
MTxA0tbIAAk,Minería de texto; de opiniones en redes sociales; o de datos sobre streams,,Ana Luisa Ek,0,2,0,https://www.youtube.com/watch?v=MTxA0tbIAAk
XXiA08JhRSA,Samuel Pizarro con la minería de datos en las redes sociales,Samuel Pizarro con la minería de datos en las redes sociales.,Comentarista Urbano,4,2190,0,https://www.youtube.com/watch?v=XXiA08JhRSA
aDGdaszQ-Bc,Mina y Emprende 14| Minería en Redes Sociales: Cambiando la mala perspectiva.,Emoción a tope para el próximo martes en Mina y Emprende! ¿Listos para conocer las redes sociales puedes cambiar la ...,iSE - LATAM,15,8060,1,https://www.youtube.com/watch?v=aDGdaszQ-Bc
T4CisQpTKic,Ateneo 521 - Big data en Salud Pública: Potencial de las redes sociales,El área de Salud pública se interesa en monitorizar a la población por varias razones: para asegurarse que la población está ...,DIS TV,14,4830,0,https://www.youtube.com/watch?v=T4CisQpTKic
s9LcKGi6_z8,Medios Sociales y Crisis: Hacia una Minería de Datos Participativa en Tiempo Real - Carlos Castillo,"Un programa de investigación enfocado en los aspectos prosociales del comportamiento de las personas durante desastres, ...",Departamento de Ingeniería Informática - USACH,2,701,0,https://www.youtube.com/watch?v=s9LcKGi6_z8
8MaeF9zmzTM,Una Historia de Small Data con R + Análisis de Redes Sociales,"En noviembre, presentamos nuestro último meetup del año!. Una historia de small data con R y Análisis de redes de amigos.",Colombia AI,27,1360,3,https://www.youtube.com/watch?v=8MaeF9zmzTM
yoSqojO2-CQ,Big data de las redes sociales para predecir el comportamiento ciudadano,Suscríbete a nuestro canal de youtube: http://bit.ly/1JHCOQ1 Síguenos en Facebook: https://www.facebook.com/elfuturoesone ...,El Futuro Es Apasionante de Vodafone,1515,474000,31,https://www.youtube.com/watch?v=yoSqojO2-CQ
Sd64oU--8os,Redes Sociales y Minería,Conoce más detalles de nuestras actividades ingresando a: www.iimp.org.pe.,Instituto de Ingenieros de Minas del Perú,16,16000,0,https://www.youtube.com/watch?v=Sd64oU--8os
awAr4a7iFds,Analisis de redes sociales 2 1 Orange,,FERNANDO CARRILLO CASTRO,7,196,0,https://www.youtube.com/watch?v=awAr4a7iFds
9p8d_gMrZY0,💡Big Data en Redes Sociales📱,"Te has preguntado cómo Facebook, Twitter, Instagram, y todas las demás redes sociales obtienen nuestra información? o cómo ...",Aprendizaje Profundo,29,1420,0,https://www.youtube.com/watch?v=9p8d_gMrZY0
RXsGRUkrSrs,El enigma de los datos ¿Por qué las grandes empresas lo saben todo sobre ti,Alguna vez te has preguntado por qué las grandes empresas parecen saber todo sobre ti? En este video exploramos el enigma ...,Historia Inversa,18,1370,0,https://www.youtube.com/watch?v=RXsGRUkrSrs
N8AvKNeTKkU,Cuando los data mining descubrieron a The lost#thebindingofisaac #curiosidades #videojuegos,"Hola que tal soy vali, espero que te hay gustado el video si fue así me puede dejar tu like me motiva seguir subiendo videos, ...",vali cyber,160,16500,4,https://www.youtube.com/watch?v=N8AvKNeTKkU
2abdGbO7SSM,MINERIA DE DATOS EN REDES SOCIALES PARA INVESTIGACIÓN CRIMINAL,IMPARTE: MARCO ANTONIO DÍAZ PIÑON.,FACULTAD LIBRE DE DERECHO DE GUANAJUATO,5,903,0,https://www.youtube.com/watch?v=2abdGbO7SSM
fMoqthzyOhc,Big Data 101 y Minería de Datos,Orador: José M. Aquino Tema: Big Data 101 y Minería de Datos Big Data ha evolucionado a una velocidad increíblemente rápida.,Streamelopers,46,27600,1,https://www.youtube.com/watch?v=fMoqthzyOhc
ifC2sjbhX_8,Conferencia &#39;Minería Social y Ciencia de Datos para el Análisis de Redes Sociales&#39;,,Escuela Colombiana de Ingeniería Julio Garavito,0,5470,0,https://www.youtube.com/watch?v=ifC2sjbhX_8
wAuvk45Byf0,REDES ll   MINERIA DE DATOS PARA EMPRESAS AGRICOLAS,,karol moncayo,9,7,2,https://www.youtube.com/watch?v=wAuvk45Byf0
Kmoi2WxipDo,Análisis de redes sociales - Modelado de tópicos,"Únete al segundo de nuestros conversatorios en la serie ""Descubre las ventajas que las herramientas de programación y la IA ...",Semillero de ciencias sociales computacionales ,8,67,0,https://www.youtube.com/watch?v=Kmoi2WxipDo
Tn2852RXCxs,Minería de datos enlace con cuenta LinkedIn,,Claudia Montenegro,14,1870,2,https://www.youtube.com/watch?v=Tn2852RXCxs
8YxxDcF9jas,Big Data y redes sociales en la seguridad clínica del paciente | UNIR OPENCLASS,Máster Universitario en Gestión de la Seguridad Clínica del Paciente y Calidad de la Atención Sanitaria ...,UNIR | La Universidad en Internet,6,342000,0,https://www.youtube.com/watch?v=8YxxDcF9jas
_IGDYUodJ0k,NetMin: La primera red social de la industria minera,"Con el objetivo de fomentar, promover y difundir el debate sobre innovación y desafíos tecnológicos en la industria, se lanzó ...",Reporte Minero,18,13000,0,https://www.youtube.com/watch?v=_IGDYUodJ0k
AJRXpSGpzO8,Así funcionan los algoritmos de las RRSS,Experto en seguridad privada explica: Así funcionan los algoritmos de las redes sociales Las redes sociales parecen ...,Privacy School,74,800,2,https://www.youtube.com/watch?v=AJRXpSGpzO8
QIldex4huhg,#02 Minería de textos para la detección temprana de riesgos,Algoritmos de minería de textos capaces de procesar cronológicamente las conversaciones de una red social para descubrir ...,CiTIUS (Centro Singular de Investigación en Tecnoloxías Intelixentes),0,970,0,https://www.youtube.com/watch?v=QIldex4huhg
Az4hCxtgws0,Clase Magistral &quot;Ciencia de datos en tiempos de redes sociales&quot; Dra. Bárbara Poblete,"Clase Magistral ""Ciencia de datos en tiempos de redes sociales"" ofrecida por la Facultad de Ingeniería UCSC, en el contexto de ...",Facultad de Ingeniería UCSC,7,180,0,https://www.youtube.com/watch?v=Az4hCxtgws0
TaSc8crOss0,Minería de Opinión,Aplicación de minería de opinión para detectar conductas desadaptativas en redes sociales.,Elizabeth Calderón,9,2,0,https://www.youtube.com/watch?v=TaSc8crOss0
