author,text,likes,video_id
@NichtLuis,Got Rick Rollt in Animal crossing,0,dQw4w9WgXcQ
@Ceruledge_the_knight,Got Here Here because of an anymal Crossing code,0,dQw4w9WgXcQ
@apostolisfakes9420,Who came from mega chameleon 😂😂,1,dQw4w9WgXcQ
@LucaBazooka-l8o,Rickrolled,1,dQw4w9WgXcQ
@DellanMwangingure,Rickrolled,0,dQw4w9WgXcQ
@JaredtheRabbit,Some ASCII art just Rick Rolled me.,0,dQw4w9WgXcQ
@yoshibunny,I was a university student in those days.  I love this music!     I still listen.,0,dQw4w9WgXcQ
@MDNirob-d6k4g,hi bro kamon aso sobai,0,dQw4w9WgXcQ
@라떼-y7y,아카라 광고 ㅅㅂ ㅋㅋㅋㅋㅋ,2,dQw4w9WgXcQ
@arasakman05,But link say free robux,1,dQw4w9WgXcQ
@charanfamous79,Who is here after clicking the link from nirmal's serial video? XD lol!!!,0,dQw4w9WgXcQ
@Xool-o3p,gd colon is a furry,0,dQw4w9WgXcQ
@chickenwing-v7w,NEVER GONNA GIVE YOU UP {keep singing song till it ends},1,dQw4w9WgXcQ
@KallelKuss,I scanned a qr code but then I got Rick rolled,0,dQw4w9WgXcQ
@ВладимирСтоляров-ж1д,Я попал сюда из-за кьар кода в максе,0,dQw4w9WgXcQ
@maffvka,7.14.26,0,dQw4w9WgXcQ
@shuber-n9e,a billion people go ricroled,0,dQw4w9WgXcQ
@bassie_57502,This needs an 2026 comment,6,dQw4w9WgXcQ
@KennethMinoza-n4d,0:0,0,dQw4w9WgXcQ
@KennethMinoza-n4d,-3:32,0,dQw4w9WgXcQ
@cookiedancer9725,"Bro, my dad has his water bottle and it said scan me and I scanned it and this is where I can too so sad😮",0,dQw4w9WgXcQ
@AQMVGX,"Got rickrolled in 2026 ?
Me too brother...
Me too...",14,dQw4w9WgXcQ
@AnhDao-jb3hr,night dance 🗿,0,dQw4w9WgXcQ
@LiamWaterson-v6p,Got me groovin' and movin',0,dQw4w9WgXcQ
@firepea_lover-q8m,http://www.youtube.com/watch?v=dQw4w9wgXcQhttp://www.youtube.com/watch?v=dQw4w9wgXcQ,0,dQw4w9WgXcQ
@fst_ghastwither,Tôi vừa thử quét cái mã thì nó hiện một video,0,dQw4w9WgXcQ
@fghasd5394,WHERE IS MY MIG-28 DLC Eugen????,0,dQw4w9WgXcQ
@StrikeTeamReaper,I got sent here from a build a boat qr code 😭😭,1,dQw4w9WgXcQ
@Subspacewhatshisface,still wondering wheres the free robux,1,dQw4w9WgXcQ
@tronghieufirefox2571,i got rickrolled by that one puzzle my friend gave me,0,dQw4w9WgXcQ
@T.LUCAAS,0:00 0:01 😂,0,dQw4w9WgXcQ
@Roblox_justANoob,"""wait a minute, this isnt the link to get free robux""
-lil timmy",0,dQw4w9WgXcQ
@kadirkarademir1087,Harika video!@G�zel paylasim@�ok begendim,0,dQw4w9WgXcQ
@kadirkarademir1087,Harika video!@G�zel paylasim@�ok begendim,0,dQw4w9WgXcQ
@kadirkarademir1087,Harika video!@G�zel paylasim@�ok begendim,0,dQw4w9WgXcQ
@almarcharliesaludes2649,⁰-⁰,0,dQw4w9WgXcQ
@Sage-z8x,this isn’t level 69 of the backrooms,0,dQw4w9WgXcQ
@xar9-o5x,Came here from fortnite and I can't stop listening to this,1,dQw4w9WgXcQ
@WhenWeather,100% i rickroll my friends and it was funny😂😂😂,0,dQw4w9WgXcQ
@UniqueBadass-g2g,Bijou mike trolled me. >=(,0,dQw4w9WgXcQ
@smreconnectingbp7181,Hii i'm mother's milk phone,0,dQw4w9WgXcQ
@GraceFamily-y2c,Everyone got airdropped a link in my school and I got sent the video to whoever did that I'm coming for you,0,dQw4w9WgXcQ
@unusualguy-uuy,아카라이브 광고 누구냐,4,dQw4w9WgXcQ
@Sivox_3212,"All those who have been ricrolled
👇",1,dQw4w9WgXcQ
@Caronel123,Plis heart song,0,dQw4w9WgXcQ
@rosecoco52,"2026
👇",2,dQw4w9WgXcQ
@Sramytl,Got Rickroll'd by Youtube Random playlist.,1,dQw4w9WgXcQ
@Make_Nakarkos_Great_Again,FXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0,dQw4w9WgXcQ
@El_Gargo,https://youtu.be/dQw4w9WgXcQ?si=2U8wiIuVtaoLp3Dy,0,dQw4w9WgXcQ
@anuring-25,https://m.youtube.com/watch?v=dQw4w9WgXcQ&list=RDdQw4w9WgXcQ&start_radio=1&pp=ygUXbmV2ZXIgZ29ubmEgZ2l2ZSB5b3UgdXCgBwE%3D&ra=m,0,dQw4w9WgXcQ
@kingen.,낚시당한 아카분들 손,5,dQw4w9WgXcQ
@krzysztof2342,I been rickrolled by Gemini 😭,1,dQw4w9WgXcQ
@AycelMohamed-y1j,BRO I THOUGHT IT CAN GIVE ME ROBUX YOU JUMPSCARED ME,0,dQw4w9WgXcQ
@MrbobGameing,I asked google AI for the sonic 35th anniversary link or what not. cause the metal sonic animation looks fire. it gave me a linked. clicked it. and I got sent here. I hate google AI so much bro,3,dQw4w9WgXcQ
@bervinsinining8018,f,0,dQw4w9WgXcQ
@kpopii_17,1:56,0,dQw4w9WgXcQ
@kpopii_17,1:47,0,dQw4w9WgXcQ
@Soborsa120,"я один их россии
 
Im Russia",0,dQw4w9WgXcQ
@JacobCruz-g4x,But the link said free robux:(,1,dQw4w9WgXcQ
@Your_localCatLover,I got sent here form Loopit and got rivkrolled,0,dQw4w9WgXcQ
@3107-js,I've been rickrolled again.,0,dQw4w9WgXcQ
@LucyaZero,im so happy about an ad,0,dQw4w9WgXcQ
@DMG_TEAM_REAL,Who in 2006,0,dQw4w9WgXcQ
@julezcon,my friend sent me this i HATE HIM,1,dQw4w9WgXcQ
@abdusemedabdurehman4241,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,dQw4w9WgXcQ
@MaryseLadouceur,This isn't about strict parents😭,0,dQw4w9WgXcQ
@michaelahkuoi5205,Who came here from Meccha Chameleon? 😂,2,dQw4w9WgXcQ
@peonneon5501,Still enjoying this!  Thanks,0,dQw4w9WgXcQ
@NickoLance-e5d,"Who got rick rolled while clicking an random link or scanning a qr code or was redirected?
👇",0,dQw4w9WgXcQ
@SaigarouWH,we nightmare💀🙏🏻,0,dQw4w9WgXcQ
@alcinadreamer,https://youtu.be/dQw4w9WgXcQ?is=MGfmzOrHGggSMC0-,0,dQw4w9WgXcQ
@shellynotedrawz,i got rick roled,0,dQw4w9WgXcQ
@LaneLersch,🛺🙄,0,dQw4w9WgXcQ
@AbdullahAbuTaimeh,Don't Scan it bruh,1,dQw4w9WgXcQ
@devouroronly4714,Faaaaaakk,1,dQw4w9WgXcQ
@Lunifat_Luna,https://www.youtube.com/watch?v=dQw4w9WgXcQ,2,dQw4w9WgXcQ
@GabbyCatFan2021-stx,YOU KNOW THE RULES AND SO DO I,1,dQw4w9WgXcQ
@g.gabigomes,pqp vim do jogo lá the false sun KKKKKKKJSJSJ,0,dQw4w9WgXcQ
@richarddixon3427,Lol just played.....I know a guy shady simulator and it gave me a qr code that sent me here.....lol,0,dQw4w9WgXcQ
@XxmclovinsxX,@pixelflow QR code 😂,1,dQw4w9WgXcQ
@player-jq1pf,Em pleno 2026.,0,dQw4w9WgXcQ
@Darkvoid-69,0:42 meme,0,dQw4w9WgXcQ
@KanyeBeefBurger7060,Found a QR code on side walk I scanned it and it bring me here,0,dQw4w9WgXcQ
@JamesLyon-c5d,Noe😂😂😂,0,dQw4w9WgXcQ
@GuilhermeIgorP-f5c,Esses memes 😅😅,0,dQw4w9WgXcQ
@RyderOdell-h2n,Google just Rick rolled me,0,dQw4w9WgXcQ
@WilliamGamer2621,https://youtu.be/dQw4w9WgXcQ?is=NAD85rKuwT5l_ElV,0,dQw4w9WgXcQ
@Julainnavarrete,"Did anyone come from Temu ?

👇",0,dQw4w9WgXcQ
@SnowconeGirl,What is this movie/show called??,0,dQw4w9WgXcQ
@Nightly_Serpent,Thank goodness I got an ad before the video started,0,dQw4w9WgXcQ
@dEmm0NalNoAi,"Who in 2026
👇",63,dQw4w9WgXcQ
@ZVIR-0,Gonna give you up.,0,dQw4w9WgXcQ
@MiyukIkIYAH,Oh co— *i say as I got rickrolled and dumbfounded*,0,dQw4w9WgXcQ
@IbtissamFahim,Who came from  pinterest  from the code barre😂😂😂😂😂 its a scame,0,dQw4w9WgXcQ
@autumnross5822,Did anyone else scan a QR code and got this but thought it was going to be something else?,1,dQw4w9WgXcQ
@davimoraesalves8461,Quem veio do mapa do mecha chameleon,0,dQw4w9WgXcQ
@mak_sin_más,pal lobby pa :D,0,dQw4w9WgXcQ
@mapsonballsop3417,Fuck deepseek Rick rolled me,0,dQw4w9WgXcQ
@jasonwhatley1399,2.444.647 comment,0,dQw4w9WgXcQ
@jasonwhatley1399,guys do this what i do,0,dQw4w9WgXcQ
@nnaayoushh,I was just trying to see the party’s location in the game elmwood trail…,0,dQw4w9WgXcQ
@rad-i-ant,"I came here from the game ""an elmswood trail""😭🙏🏻",1,dQw4w9WgXcQ
@ikerantoniochavezruffo,https://youtu.be/dQw4w9WgXcQ?is=V-ogd-GS_GCBCmio,0,dQw4w9WgXcQ
@JoshuaD70,ok now how do I get to the admin of THM?,0,dQw4w9WgXcQ
@katerinaangelopoulou,Came here from a Temù shirt....,0,dQw4w9WgXcQ
@EvanzEvanza,GD COLOGNE RAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHHH,0,dQw4w9WgXcQ
@spikeblack5755,I got Rick rolled by a fucking image about cleaning up YouTube links from the palantir AI data harvester,0,dQw4w9WgXcQ
@kumozidabestlol,w rickrolled,0,dQw4w9WgXcQ
@SliceWithRice,"I’m working with Codex on a YouTube extension, and it used this link for testing... Codex just Rickrolled me",0,dQw4w9WgXcQ
@jamilaaman7386,I got rickrolled,1,dQw4w9WgXcQ
